Name                                                                                                                            Stmts   Miss  Cover
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/paginator.py                                                       102     66    35%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/serializers/__init__.py                                            103     29    72%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/serializers/base.py                                                145     74    49%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/serializers/json.py                                                 75     36    52%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/serializers/python.py                                               92     61    34%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/serializers/pyyaml.py                                               41     20    51%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/serializers/xml_serializer.py                                      217    172    21%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/servers/__init__.py                                                  0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/servers/basehttp.py                                                 89     61    31%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/signals.py                                                           5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/signing.py                                                          88     54    39%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/validators.py                                                      276    145    47%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/core/wsgi.py                                                              5      2    60%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/__init__.py                                                           24      7    71%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/__init__.py                                                   0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/base/__init__.py                                              0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/base/base.py                                                306    116    62%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/base/client.py                                                6      1    83%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/base/creation.py                                            119     50    58%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/base/features.py                                            115     16    86%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/base/introspection.py                                        73     50    32%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/base/operations.py                                          253    146    42%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/base/schema.py                                              500    292    42%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/base/validation.py                                           14      6    57%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/ddl_references.py                                            91     32    65%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/signals.py                                                    2      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/sqlite3/__init__.py                                           0      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/sqlite3/base.py                                             258    135    48%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/sqlite3/client.py                                             7      2    71%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/sqlite3/creation.py                                          66     40    39%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/sqlite3/features.py                                          37      9    76%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/sqlite3/introspection.py                                    123    102    17%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/sqlite3/operations.py                                       180    103    43%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/sqlite3/schema.py                                           174     81    53%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/backends/utils.py                                                    148     85    43%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/__init__.py                                                 2      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/autodetector.py                                           607    555     9%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/exceptions.py                                              26      5    81%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/executor.py                                               205    128    38%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/graph.py                                                  220    102    54%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/loader.py                                                 163     65    60%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/migration.py                                               81     41    49%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/operations/__init__.py                                      4      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/operations/base.py                                         44     19    57%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/operations/fields.py                                      192    114    41%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/operations/models.py                                      397    249    37%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/operations/special.py                                     121     78    36%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/operations/utils.py                                         7      2    71%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/optimizer.py                                               25     22    12%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/questioner.py                                             125     95    24%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/recorder.py                                                42      6    86%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/serializer.py                                             253    179    29%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/state.py                                                  340    124    64%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/topological_sort.py                                        15     13    13%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/utils.py                                                   11      4    64%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/migrations/writer.py                                                 175    144    18%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/__init__.py                                                    20      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/aggregates.py                                                 129     76    41%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/base.py                                                       835    437    48%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/constants.py                                                    1      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/deletion.py                                                   162    138    15%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/expressions.py                                                797    495    38%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/fields/__init__.py                                           1214    571    53%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/fields/files.py                                               223    157    30%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/fields/mixins.py                                               18     10    44%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/fields/proxy.py                                                 6      3    50%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/fields/related.py                                             697    239    66%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/fields/related_descriptors.py                                 514    456    11%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/fields/related_lookups.py                                      89     45    49%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/fields/reverse_related.py                                     113     37    67%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/functions/__init__.py                                           5      0   100%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/functions/comparison.py                                        45     25    44%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/functions/datetime.py                                         173     83    52%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/functions/text.py                                             130     51    61%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/functions/window.py                                            79     20    75%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/indexes.py                                                     65     48    26%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/lookups.py                                                    357    140    61%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/manager.py                                                     97     10    90%
/Users/impress.ai/venv/lib/python3.5/site-packages/django/db/models/options.py                                                    414     97    77%
